item_id,split,category,difficulty,expected_action,answer_source,question,gold_answer,answer,required_claim_recall,full_invariant_success,forbidden_hits,citation_count,strict_document_citation_precision,strict_document_citation_recall,api_retrieval_evidence_recall_at_5,explicit_polarity_applicable,explicit_polarity_match,input_tokens,output_tokens,turn_index,paired_core_item_id
DHHPQA-TEST-A1-022,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,"Ngưỡng PT1 năm 2026 của chương trình Công nghệ kỹ thuật điện, điện tử: Công nghệ điện tử, vi mạch và bán dẫn (CLC) là bao nhiêu?","Ngưỡng PT1 của Công nghệ kỹ thuật điện, điện tử: Công nghệ điện tử, vi mạch và bán dẫn (CLC) là 17,50 điểm.","Ngưỡng PT1 năm 2026 của chương trình **Công nghệ điện tử, vi mạch và bán dẫn (CLC)**, mã 751030120, là **17,50 điểm**; không công bố điều kiện bổ sung. [03_programs_current_2026__t512_o128__c0001]",1.0,1,0,1,1.0,1.0,1.0,0,,3175,73,,
DHHPQA-TEST-A1-023,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Ngưỡng PT1 năm 2026 của chương trình Quản trị kinh doanh là bao nhiêu?,"Ngưỡng PT1 của Quản trị kinh doanh là 17,00 điểm.","Ngưỡng PT1 năm 2026 của chương trình Quản trị kinh doanh (mã 734010101) là **17,00 điểm**, không có điều kiện bổ sung được công bố. [03_programs_current_2026__t512_o128__c0002]",1.0,1,0,1,1.0,1.0,1.0,0,,3077,64,,
DHHPQA-TEST-A1-024,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Ngưỡng PT1 năm 2026 của chương trình Quản trị tài chính kế toán là bao nhiêu?,"Ngưỡng PT1 của Quản trị tài chính kế toán là 17,00 điểm.","Ngưỡng đầu vào PT1 năm 2026 của chương trình **Quản trị tài chính kế toán** (mã 734010102) là **17,00 điểm**; không công bố điều kiện bổ sung. [03_programs_current_2026__t512_o128__c0002]",1.0,1,0,1,1.0,1.0,1.0,0,,3942,69,,
DHHPQA-TEST-A1-025,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Ngưỡng PT1 năm 2026 của chương trình Marketing số là bao nhiêu?,"Ngưỡng PT1 của Marketing số là 17,00 điểm.","Ngưỡng PT1 năm 2026 của chương trình **Marketing số** (mã 734011501) là **17,00 điểm**; không có điều kiện bổ sung được công bố. [03_programs_current_2026__t512_o128__c0002]",1.0,1,0,1,1.0,1.0,1.0,0,,3938,64,,
DHHPQA-TEST-A1-026,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Ngưỡng PT1 năm 2026 của chương trình Marketing là bao nhiêu?,"Ngưỡng PT1 của Marketing là 17,00 điểm.","Ngưỡng đầu vào PT1 năm 2026 của chương trình **Marketing (734011502)** là **17,00 điểm**, không có điều kiện bổ sung được công bố. [03_programs_current_2026__t512_o128__c0002]",1.0,1,0,1,1.0,1.0,1.0,0,,3936,60,,
DHHPQA-TEST-A1-027,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Ngưỡng PT1 năm 2026 của chương trình Truyền thông marketing là bao nhiêu?,"Ngưỡng PT1 của Truyền thông marketing là 17,00 điểm.","Ngưỡng PT1 năm 2026 của chương trình **Truyền thông marketing** (mã 734011503) là **17,00 điểm**; không có điều kiện bổ sung được công bố. [03_programs_current_2026__t512_o128__c0002]",1.0,1,0,1,1.0,1.0,1.0,0,,3077,67,,
DHHPQA-TEST-A1-028,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Ngưỡng PT1 năm 2026 của chương trình Tài chính doanh nghiệp là bao nhiêu?,"Ngưỡng PT1 của Tài chính doanh nghiệp là 17,00 điểm.","Ngưỡng PT1 năm 2026 của chương trình **Tài chính doanh nghiệp** (mã 734020102) là **17,00 điểm**; không công bố điều kiện bổ sung. [03_programs_current_2026__t512_o128__c0002]",1.0,1,0,1,1.0,1.0,1.0,0,,3094,65,,
DHHPQA-TEST-A1-029,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Ngưỡng PT1 năm 2026 của chương trình Kế toán doanh nghiệp là bao nhiêu?,"Ngưỡng PT1 của Kế toán doanh nghiệp là 17,00 điểm.","Ngưỡng PT1 năm 2026 của chương trình **Kế toán doanh nghiệp** (mã 734030102) là **17,00 điểm**, không có điều kiện bổ sung được công bố. [03_programs_current_2026__t512_o128__c0003]",1.0,1,0,1,1.0,1.0,1.0,0,,3941,66,,
DHHPQA-TEST-A1-030,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Ngưỡng PT1 năm 2026 của chương trình Kế toán - Kiểm toán là bao nhiêu?,"Ngưỡng PT1 của Kế toán - Kiểm toán là 17,00 điểm.","Ngưỡng đầu vào PT1 năm 2026 của chương trình **Kế toán - Kiểm toán** (mã 734030103) là **17,00 điểm**; không công bố điều kiện bổ sung. [03_programs_current_2026__t512_o128__c0003]",1.0,1,0,1,1.0,1.0,1.0,0,,3096,69,,
DHHPQA-TEST-A1-031,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Ngưỡng PT1 năm 2026 của chương trình Ngôn ngữ Trung Quốc là bao nhiêu?,"Ngưỡng PT1 của Ngôn ngữ Trung Quốc là 17,50 điểm.","Ngưỡng PT1 năm 2026 của chương trình Ngôn ngữ Trung Quốc (mã 722020401) là **17,50 điểm**; không công bố điều kiện bổ sung. [03_programs_current_2026__t512_o128__c0003]",1.0,1,0,1,1.0,1.0,1.0,0,,3094,64,,
DHHPQA-TEST-A1-032,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Ngưỡng PT1 năm 2026 của chương trình Văn học là bao nhiêu?,"Ngưỡng PT1 của Văn học là 17,00 điểm.","Ngưỡng PT1 năm 2026 của chương trình Văn học (mã 722903001) là **17,00 điểm**; không có điều kiện bổ sung được công bố. [03_programs_current_2026__t512_o128__c0003]",1.0,1,0,1,1.0,1.0,1.0,0,,2159,62,,
DHHPQA-TEST-A2-001,TEST,A2,MEDIUM,ANSWER,GPT_5_6_TERRA_BATCH,Mã xét tuyển của chương trình Kinh tế: Logistics và vận tải đa phương thức (CLC) là gì?,Mã xét tuyển là 731010120.,Mã xét tuyển chương trình **Kinh tế: Logistics và vận tải đa phương thức (CLC)** là **731010120**. [03_programs_current_2026__t512_o128__c0001],1.0,1,0,1,1.0,1.0,1.0,0,,4778,50,,
DHHPQA-TEST-A2-002,TEST,A2,MEDIUM,ANSWER,GPT_5_6_TERRA_BATCH,Quản trị kinh doanh: Kinh doanh số và đổi mới sáng tạo (CLC) xét những tổ hợp môn nào?,"Các tổ hợp xét tuyển gồm A00, A01, C01, C03, C04, D01.","Ngành **Quản trị kinh doanh: Kinh doanh số và đổi mới sáng tạo (CLC)** (mã 734010120) xét các tổ hợp: **A00, A01, C01, C03, C04, D01**. [03_programs_current_2026__t512_o128__c0001]",1.0,1,0,1,1.0,1.0,1.0,0,,5687,76,,
DHHPQA-TEST-A2-003,TEST,A2,MEDIUM,ANSWER,GPT_5_6_TERRA_BATCH,Quản trị kinh doanh: Quản trị kinh doanh quốc tế (CLC) sử dụng những phương thức xét tuyển nào?,"Các phương thức là PT1, PT2, PT3, PT4, PT5.","Ngành **Quản trị kinh doanh: Quản trị kinh doanh quốc tế (CLC)** (mã 734010121) xét tuyển theo: **PT1, PT2, PT3, PT4 và PT5**. [03_programs_current_2026__t512_o128__c0001]

- PT1: điểm thi tốt nghiệp THPT 2026.  
- PT2: học bạ lớp 10–12.  
- PT3: kết hợp chứng chỉ ngoại ngữ với điểm thi THPT hoặc học bạ.  
- PT4: điểm HSA, TSA hoặc SPT năm 2026.  
- PT5: xét tuyển thẳng. [02_methods_restrictions__t512_o128__c0001]",1.0,1,0,2,0.5,1.0,1.0,0,,4087,164,,
DHHPQA-TEST-A2-004,TEST,A2,MEDIUM,ANSWER,GPT_5_6_TERRA_BATCH,Chỉ tiêu hiện hành của Kế toán: Kế toán doanh nghiệp theo định hướng ACCA (CLC) được công bố như thế nào?,Chỉ tiêu hiện hành của Kế toán: Kế toán doanh nghiệp theo định hướng ACCA (CLC) là 50.,Mã 734030120 – **Kế toán doanh nghiệp theo định hướng ACCA (CLC)** được công bố **chỉ tiêu dự kiến riêng 50**. Đây không phải chỉ tiêu gộp của nhóm/ngành Kế toán. [03_programs_current_2026__t512_o128__c0001],1.0,1,0,1,1.0,1.0,1.0,0,,5731,73,,
DHHPQA-TEST-A2-005,TEST,A2,MEDIUM,ANSWER,GPT_5_6_TERRA_BATCH,"Ngưỡng đầu vào PT1 của Công nghệ kỹ thuật điện, điện tử: Công nghệ điện tử, vi mạch và bán dẫn (CLC) là bao nhiêu?","Ngưỡng PT1 là 17,50 điểm.","Ngưỡng đầu vào PT1 của ngành này là **17,50 điểm**; không có điều kiện bổ sung được công bố. [03_programs_current_2026__t512_o128__c0001]",1.0,1,0,1,1.0,1.0,1.0,0,,2338,50,,
DHHPQA-TEST-A2-006,TEST,A2,MEDIUM,ANSWER,GPT_5_6_TERRA_BATCH,Mã xét tuyển của chương trình Quản trị kinh doanh là gì?,Mã xét tuyển là 734010101.,Mã xét tuyển chương trình **Quản trị kinh doanh** là **734010101**. [03_programs_current_2026__t512_o128__c0002],1.0,1,0,1,1.0,1.0,1.0,0,,3975,42,,
DHHPQA-TEST-A2-007,TEST,A2,MEDIUM,ANSWER,GPT_5_6_TERRA_BATCH,Quản trị tài chính kế toán xét những tổ hợp môn nào?,"Các tổ hợp xét tuyển gồm A00, A01, C01, C03, C04, D01.","Quản trị tài chính kế toán xét các tổ hợp: **A00, A01, C01, C03, C04, D01**. [03_programs_current_2026__t512_o128__c0002]",1.0,1,0,1,1.0,1.0,1.0,0,,4042,54,,
DHHPQA-TEST-A2-008,TEST,A2,MEDIUM,ANSWER,GPT_5_6_TERRA_BATCH,Marketing số sử dụng những phương thức xét tuyển nào?,"Các phương thức là PT1, PT2, PT3, PT4, PT5.","Marketing số (mã 734011501) xét tuyển theo 5 phương thức: PT1, PT2, PT3, PT4 và PT5. [03_programs_current_2026__t512_o128__c0002]

- PT1: điểm thi tốt nghiệp THPT 2026. [02_methods_restrictions__t512_o128__c0001]
- PT2: học bạ cả năm lớp 10, 11, 12. [02_methods_restrictions__t512_o128__c0001]
- PT3: kết hợp chứng chỉ ngoại ngữ với điểm thi THPT hoặc học bạ. [02_methods_restrictions__t512_o128__c0001]
- PT4: điểm HSA, TSA hoặc SPT năm 2026. [02_methods_restrictions__t512_o128__c0001]
- PT5: xét tuyển thẳng theo quy định. [02_methods_restrictions__t512_o128__c0001]",1.0,1,0,6,0.16666666666666666,1.0,1.0,0,,3971,218,,
DHHPQA-TEST-A2-009,TEST,A2,MEDIUM,ANSWER,GPT_5_6_TERRA_BATCH,Chỉ tiêu hiện hành của Marketing được công bố như thế nào?,Nguồn hiện hành chỉ công bố tổng 200 chỉ tiêu cho nhóm chứa Marketing; chưa công bố phân bổ riêng cho mã 734011502.,"Hiện hành chỉ công bố **tổng chỉ tiêu nhóm/ngành Marketing là 200**; chưa có phân bổ riêng cho Marketing số (734011501), Marketing (734011502) hoặc Truyền thông marketing (734011503). Không thể suy ra chỉ tiêu từng chương trình từ tổng này. [03_programs_current_2026__t512_o128__c0002]",1.0,1,0,1,1.0,1.0,1.0,0,,3992,85,,
DHHPQA-TEST-A2-010,TEST,A2,MEDIUM,ANSWER,GPT_5_6_TERRA_BATCH,Ngưỡng đầu vào PT1 của Truyền thông marketing là bao nhiêu?,"Ngưỡng PT1 là 17,00 điểm.","Ngưỡng đầu vào PT1 của Truyền thông marketing (mã 734011503) là **17,00 điểm**, không có điều kiện bổ sung được công bố. [03_programs_current_2026__t512_o128__c0002]",1.0,1,0,1,1.0,1.0,1.0,0,,3866,60,,
DHHPQA-TEST-A2-011,TEST,A2,MEDIUM,ANSWER,GPT_5_6_TERRA_BATCH,Mã xét tuyển của chương trình Thương mại điện tử là gì?,Mã xét tuyển là 734012201.,Mã xét tuyển chương trình Thương mại điện tử là **734012201**. [03_programs_current_2026__t512_o128__c0002],1.0,1,0,1,1.0,1.0,1.0,0,,3975,40,,
DHHPQA-TEST-A2-012,TEST,A2,MEDIUM,ANSWER,GPT_5_6_TERRA_BATCH,Tài chính doanh nghiệp xét những tổ hợp môn nào?,"Các tổ hợp xét tuyển gồm A00, A01, C01, C02, D01, D07.","Ngành **Tài chính doanh nghiệp** xét các tổ hợp: **A00, A01, C01, C02, D01, D07**. [03_programs_current_2026__t512_o128__c0002]",1.0,1,0,1,1.0,1.0,1.0,0,,4909,56,,
DHHPQA-TEST-A2-013,TEST,A2,MEDIUM,ANSWER,GPT_5_6_TERRA_BATCH,Kế toán doanh nghiệp sử dụng những phương thức xét tuyển nào?,"Các phương thức là PT1, PT2, PT3, PT4, PT5.","Kế toán doanh nghiệp (734030102) xét tuyển theo 5 phương thức: PT1, PT2, PT3, PT4 và PT5. [03_programs_current_2026__t512_o128__c0003]

- PT1: điểm thi tốt nghiệp THPT 2026.  
- PT2: học bạ lớp 10–12.  
- PT3: kết hợp chứng chỉ ngoại ngữ với kết quả theo quy định.  
- PT4: điểm HSA, TSA hoặc SPT năm 2026.  
- PT5: xét tuyển thẳng. [02_methods_restrictions__t512_o128__c0001]",1.0,1,0,2,0.5,1.0,1.0,0,,3974,146,,
DHHPQA-TEST-A2-014,TEST,A2,MEDIUM,ANSWER,GPT_5_6_TERRA_BATCH,Chỉ tiêu hiện hành của Kế toán - Kiểm toán được công bố như thế nào?,Nguồn hiện hành chỉ công bố tổng 150 chỉ tiêu cho nhóm chứa Kế toán - Kiểm toán; chưa công bố phân bổ riêng cho mã 734030103.,Kế toán - Kiểm toán (mã 734030103) hiện chỉ được công bố trong tổng chỉ tiêu nhóm/ngành Kế toán là **150**; chưa có phân bổ chỉ tiêu riêng cho chương trình này. Không thể suy ra chỉ tiêu riêng từ tổng nhóm. [03_programs_current_2026__t512_o128__c0003],1.0,1,0,1,1.0,1.0,1.0,0,,3997,80,,
DHHPQA-TEST-A2-015,TEST,A2,MEDIUM,ANSWER,GPT_5_6_TERRA_BATCH,Ngưỡng đầu vào PT1 của Ngôn ngữ Anh là bao nhiêu?,"Ngưỡng PT1 là 17,50 điểm.","Ngưỡng đầu vào PT1 ngành Ngôn ngữ Anh là **17,50 điểm**; đồng thời điểm môn Ngoại ngữ trong tổ hợp phải từ **6,0** trở lên. [03_programs_current_2026__t512_o128__c0003]",1.0,1,0,1,1.0,1.0,1.0,0,,3089,64,,
DHHPQA-TEST-A2-016,TEST,A2,MEDIUM,ANSWER,GPT_5_6_TERRA_BATCH,Mã xét tuyển của chương trình Ngôn ngữ Trung Quốc là gì?,Mã xét tuyển là 722020401.,Mã xét tuyển chương trình **Ngôn ngữ Trung Quốc** là **722020401**. [03_programs_current_2026__t512_o128__c0003],1.0,1,0,1,1.0,1.0,1.0,0,,3053,43,,
DHHPQA-TEST-A2-017,TEST,A2,MEDIUM,ANSWER,GPT_5_6_TERRA_BATCH,Văn học xét những tổ hợp môn nào?,"Các tổ hợp xét tuyển gồm C00, C03, C04, C19, C20, D15.","Ngành **Văn học** (722903001) xét các tổ hợp: **C00, C03, C04, C19, C20, D15**. [03_programs_current_2026__t512_o128__c0003]",1.0,1,0,1,1.0,1.0,1.0,0,,4908,59,,
DHHPQA-TEST-A2-018,TEST,A2,MEDIUM,ANSWER,GPT_5_6_TERRA_BATCH,Kinh tế ngoại thương sử dụng những phương thức xét tuyển nào?,"Các phương thức là PT1, PT2, PT3, PT4, PT5.","Kinh tế ngoại thương (mã 731010102) xét tuyển bằng: **PT1, PT2, PT3, PT4 và PT5**. [03_programs_current_2026__t512_o128__c0004]

- PT1: điểm thi tốt nghiệp THPT 2026.  
- PT2: kết quả học tập lớp 10, 11, 12.  
- PT3: kết hợp chứng chỉ ngoại ngữ với kết quả thi THPT hoặc học bạ.  
- PT4: điểm HSA, TSA hoặc SPT năm 2026.  
- PT5: xét tuyển thẳng. [02_methods_restrictions__t512_o128__c0001]",1.0,1,0,2,0.5,1.0,1.0,0,,3920,156,,
DHHPQA-TEST-A2-019,TEST,A2,MEDIUM,ANSWER,GPT_5_6_TERRA_BATCH,Chỉ tiêu hiện hành của Quản lý kinh tế được công bố như thế nào?,Nguồn hiện hành chỉ công bố tổng 150 chỉ tiêu cho nhóm chứa Quản lý kinh tế; chưa công bố phân bổ riêng cho mã 731010103.,"Quản lý kinh tế (mã 731010103) hiện chỉ được công bố trong tổng chỉ tiêu nhóm/ngành Kinh tế là **150**. Chưa có phân bổ chỉ tiêu riêng cho mã này, nên không thể xác định chỉ tiêu cụ thể của Quản lý kinh tế. [03_programs_current_2026__t512_o128__c0004]",1.0,1,0,1,1.0,1.0,1.0,0,,4874,83,,
